PCODE,SUBURB,WEEK,CASES,CUMU_CASES,IR_1000,CumuIR_1000
HS00001,Budiriro - 5B ext.,36,4,4,3.889214457,3.889214457
HS00001,Budiriro - 5B ext.,37,4,8,3.735403716,7.624618173
HS00001,Budiriro - 5B ext.,38,3,11,4.262754829,11.887373
HS00001,Budiriro - 5B ext.,39,0,11,3.786673963,15.67404697
HS00001,Budiriro - 5B ext.,40,0,11,2.255890872,17.92993784
HS00001,Budiriro - 5B ext.,41,1,12,1.018080621,18.94801846
HS00001,Budiriro - 5B ext.,42,1,13,0.776378027,19.72439648
HS00001,Budiriro - 5B ext.,43,0,13,0.541999755,20.26639624
HS00001,Budiriro - 5B ext.,44,0,13,0.256351235,20.52274748
HS00001,Budiriro - 5B ext.,45,0,13,0.021972963,20.54472044
HS00002,Budiriro - 1,36,263,263,3.889214457,3.889214457
HS00002,Budiriro - 1,37,204,467,3.735403716,7.624618173
HS00002,Budiriro - 1,38,288,755,4.262754829,11.887373
HS00002,Budiriro - 1,39,351,1106,3.786673963,15.67404697
HS00002,Budiriro - 1,40,204,1310,2.255890872,17.92993784
HS00002,Budiriro - 1,41,87,1397,1.018080621,18.94801846
HS00002,Budiriro - 1,42,46,1443,0.776378027,19.72439648
HS00002,Budiriro - 1,43,27,1470,0.541999755,20.26639624
HS00002,Budiriro - 1,44,17,1487,0.256351235,20.52274748
HS00002,Budiriro - 1,45,1,1488,0.021972963,20.54472044
HS00003,Budiriro - 3,36,86,86,3.889214457,3.889214457
HS00003,Budiriro - 3,37,68,154,3.735403716,7.624618173
HS00003,Budiriro - 3,38,59,213,4.262754829,11.887373
HS00003,Budiriro - 3,39,34,247,3.786673963,15.67404697
HS00003,Budiriro - 3,40,17,264,2.255890872,17.92993784
HS00003,Budiriro - 3,41,11,275,1.018080621,18.94801846
HS00003,Budiriro - 3,42,12,287,0.776378027,19.72439648
HS00003,Budiriro - 3,43,9,296,0.541999755,20.26639624
HS00003,Budiriro - 3,44,3,299,0.256351235,20.52274748
HS00003,Budiriro - 3,45,1,300,0.021972963,20.54472044
HS00004,Budiriro - 2,36,50,50,3.889214457,3.889214457
HS00004,Budiriro - 2,37,54,104,3.735403716,7.624618173
HS00004,Budiriro - 2,38,61,165,4.262754829,11.887373
HS00004,Budiriro - 2,39,29,194,3.786673963,15.67404697
HS00004,Budiriro - 2,40,29,223,2.255890872,17.92993784
HS00004,Budiriro - 2,41,14,237,1.018080621,18.94801846
HS00004,Budiriro - 2,42,18,255,0.776378027,19.72439648
HS00004,Budiriro - 2,43,10,265,0.541999755,20.26639624
HS00004,Budiriro - 2,44,8,273,0.256351235,20.52274748
HS00004,Budiriro - 2,45,0,273,0.021972963,20.54472044
HS00005,Budiriro - 4,36,30,30,3.889214457,3.889214457
HS00005,Budiriro - 4,37,33,63,3.735403716,7.624618173
HS00005,Budiriro - 4,38,28,91,4.262754829,11.887373
HS00005,Budiriro - 4,39,14,105,3.786673963,15.67404697
HS00005,Budiriro - 4,40,12,117,2.255890872,17.92993784
HS00005,Budiriro - 4,41,4,121,1.018080621,18.94801846
HS00005,Budiriro - 4,42,6,127,0.776378027,19.72439648
HS00005,Budiriro - 4,43,2,129,0.541999755,20.26639624
HS00005,Budiriro - 4,44,0,129,0.256351235,20.52274748
HS00005,Budiriro - 4,45,0,129,0.021972963,20.54472044
HS00006,Budiriro - 5A,36,18,18,3.889214457,3.889214457
HS00006,Budiriro - 5A,37,29,47,3.735403716,7.624618173
HS00006,Budiriro - 5A,38,23,70,4.262754829,11.887373
HS00006,Budiriro - 5A,39,25,95,3.786673963,15.67404697
HS00006,Budiriro - 5A,40,10,105,2.255890872,17.92993784
HS00006,Budiriro - 5A,41,4,109,1.018080621,18.94801846
HS00006,Budiriro - 5A,42,2,111,0.776378027,19.72439648
HS00006,Budiriro - 5A,43,0,111,0.541999755,20.26639624
HS00006,Budiriro - 5A,44,0,111,0.256351235,20.52274748
HS00006,Budiriro - 5A,45,1,112,0.021972963,20.54472044
HS00007,Budiriro - 5B,36,71,71,3.889214457,3.889214457
HS00007,Budiriro - 5B,37,105,176,3.735403716,7.624618173
HS00007,Budiriro - 5B,38,97,273,4.262754829,11.887373
HS00007,Budiriro - 5B,39,46,319,3.786673963,15.67404697
HS00007,Budiriro - 5B,40,25,344,2.255890872,17.92993784
HS00007,Budiriro - 5B,41,14,358,1.018080621,18.94801846
HS00007,Budiriro - 5B,42,18,376,0.776378027,19.72439648
HS00007,Budiriro - 5B,43,18,394,0.541999755,20.26639624
HS00007,Budiriro - 5B,44,6,400,0.256351235,20.52274748
HS00007,Budiriro - 5B,45,0,400,0.021972963,20.54472044
HS00008,Budiriro - 4 ext.,36,0,0,3.889214457,3.889214457
HS00008,Budiriro - 4 ext.,37,0,0,3.735403716,7.624618173
HS00008,Budiriro - 4 ext.,38,0,0,4.262754829,11.887373
HS00008,Budiriro - 4 ext.,39,0,0,3.786673963,15.67404697
HS00008,Budiriro - 4 ext.,40,0,0,2.255890872,17.92993784
HS00008,Budiriro - 4 ext.,41,0,0,1.018080621,18.94801846
HS00008,Budiriro - 4 ext.,42,2,2,0.776378027,19.72439648
HS00008,Budiriro - 4 ext.,43,1,3,0.541999755,20.26639624
HS00008,Budiriro - 4 ext.,44,0,3,0.256351235,20.52274748
HS00008,Budiriro - 4 ext.,45,0,3,0.021972963,20.54472044
HS00009,Glen Norah - A,36,22,22,0.413207788,0.413207788
HS00009,Glen Norah - A,37,70,92,1.142398001,1.555605788
HS00009,Glen Norah - A,38,64,156,1.154551171,2.710156959
HS00009,Glen Norah - A,39,27,183,0.53473949,3.244896449
HS00009,Glen Norah - A,40,11,194,0.206603894,3.451500343
HS00009,Glen Norah - A,41,9,203,0.206603894,3.658104236
HS00009,Glen Norah - A,42,4,207,0.097225362,3.755329598
HS00009,Glen Norah - A,43,8,215,0.121531702,3.8768613
HS00009,Glen Norah - A,44,3,218,0.085072192,3.961933492
HS00009,Glen Norah - A,45,1,219,0.01215317,3.974086662
HS00010,Glen Norah - C Extention,36,0,0,0.413207788,0.413207788
HS00010,Glen Norah - C Extention,37,1,1,1.142398001,1.555605788
HS00010,Glen Norah - C Extention,38,0,1,1.154551171,2.710156959
HS00010,Glen Norah - C Extention,39,0,1,0.53473949,3.244896449
HS00010,Glen Norah - C Extention,40,0,1,0.206603894,3.451500343
HS00010,Glen Norah - C Extention,41,0,1,0.206603894,3.658104236
HS00010,Glen Norah - C Extention,42,0,1,0.097225362,3.755329598
HS00010,Glen Norah - C Extention,43,0,1,0.121531702,3.8768613
HS00010,Glen Norah - C Extention,44,0,1,0.085072192,3.961933492
HS00010,Glen Norah - C Extention,45,0,1,0.01215317,3.974086662
HS00011,Glen Norah - C,36,8,8,0.413207788,0.413207788
HS00011,Glen Norah - C,37,5,13,1.142398001,1.555605788
HS00011,Glen Norah - C,38,15,28,1.154551171,2.710156959
HS00011,Glen Norah - C,39,7,35,0.53473949,3.244896449
HS00011,Glen Norah - C,40,1,36,0.206603894,3.451500343
HS00011,Glen Norah - C,41,0,36,0.206603894,3.658104236
HS00011,Glen Norah - C,42,0,36,0.097225362,3.755329598
HS00011,Glen Norah - C,43,0,36,0.121531702,3.8768613
HS00011,Glen Norah - C,44,2,38,0.085072192,3.961933492
HS00011,Glen Norah - C,45,0,38,0.01215317,3.974086662
HS00012,Hopely - Kumbudzi,36,0,0,0,0
HS00012,Hopely - Kumbudzi,37,1,1,0,0
HS00012,Hopely - Kumbudzi,38,0,1,0,0
HS00012,Hopely - Kumbudzi,39,0,1,0,0
HS00012,Hopely - Kumbudzi,40,0,1,0,0
HS00012,Hopely - Kumbudzi,41,0,1,0,0
HS00012,Hopely - Kumbudzi,42,0,1,0,0
HS00012,Hopely - Kumbudzi,43,0,1,0,0
HS00012,Hopely - Kumbudzi,44,0,1,0,0
HS00012,Hopely - Kumbudzi,45,0,1,0,0
HS00013,Glen Norah - B,36,3,3,0.413207788,0.413207788
HS00013,Glen Norah - B,37,18,21,1.142398001,1.555605788
HS00013,Glen Norah - B,38,13,34,1.154551171,2.710156959
HS00013,Glen Norah - B,39,9,43,0.53473949,3.244896449
HS00013,Glen Norah - B,40,5,48,0.206603894,3.451500343
HS00013,Glen Norah - B,41,8,56,0.206603894,3.658104236
HS00013,Glen Norah - B,42,4,60,0.097225362,3.755329598
HS00013,Glen Norah - B,43,2,62,0.121531702,3.8768613
HS00013,Glen Norah - B,44,2,64,0.085072192,3.961933492
HS00013,Glen Norah - B,45,0,64,0.01215317,3.974086662
HS00014,Glen View - 1,36,152,152,9.458219449,9.458219449
HS00014,Glen View - 1,37,302,454,10.42669114,19.88491058
HS00014,Glen View - 1,38,214,668,6.131050593,26.01596118
HS00014,Glen View - 1,39,99,767,2.913225313,28.92918649
HS00014,Glen View - 1,40,59,826,1.507379318,30.43656581
HS00014,Glen View - 1,41,35,861,0.781025553,31.21759136
HS00014,Glen View - 1,42,36,897,0.952851175,32.17044254
HS00014,Glen View - 1,43,16,913,0.531097376,32.70153991
HS00014,Glen View - 1,44,15,928,0.335840988,33.0373809
HS00014,Glen View - 1,45,3,931,0.054671789,33.09205269
HS00015,Glen View - 8,36,354,354,9.458219449,9.458219449
HS00015,Glen View - 8,37,317,671,10.42669114,19.88491058
HS00015,Glen View - 8,38,179,850,6.131050593,26.01596118
HS00015,Glen View - 8,39,74,924,2.913225313,28.92918649
HS00015,Glen View - 8,40,45,969,1.507379318,30.43656581
HS00015,Glen View - 8,41,10,979,0.781025553,31.21759136
HS00015,Glen View - 8,42,26,1005,0.952851175,32.17044254
HS00015,Glen View - 8,43,20,1025,0.531097376,32.70153991
HS00015,Glen View - 8,44,2,1027,0.335840988,33.0373809
HS00015,Glen View - 8,45,0,1027,0.054671789,33.09205269
HS00016,Glen View - 7 ext.,36,0,0,9.458219449,9.458219449
HS00016,Glen View - 7 ext.,37,0,0,10.42669114,19.88491058
HS00016,Glen View - 7 ext.,38,1,1,6.131050593,26.01596118
HS00016,Glen View - 7 ext.,39,1,2,2.913225313,28.92918649
HS00016,Glen View - 7 ext.,40,0,2,1.507379318,30.43656581
HS00016,Glen View - 7 ext.,41,0,2,0.781025553,31.21759136
HS00016,Glen View - 7 ext.,42,1,3,0.952851175,32.17044254
HS00016,Glen View - 7 ext.,43,1,4,0.531097376,32.70153991
HS00016,Glen View - 7 ext.,44,2,6,0.335840988,33.0373809
HS00016,Glen View - 7 ext.,45,0,6,0.054671789,33.09205269
HS00017,Glen View - 7,36,55,55,9.458219449,9.458219449
HS00017,Glen View - 7,37,105,160,10.42669114,19.88491058
HS00017,Glen View - 7,38,75,235,6.131050593,26.01596118
HS00017,Glen View - 7,39,26,261,2.913225313,28.92918649
HS00017,Glen View - 7,40,16,277,1.507379318,30.43656581
HS00017,Glen View - 7,41,9,286,0.781025553,31.21759136
HS00017,Glen View - 7,42,8,294,0.952851175,32.17044254
HS00017,Glen View - 7,43,9,303,0.531097376,32.70153991
HS00017,Glen View - 7,44,6,309,0.335840988,33.0373809
HS00017,Glen View - 7,45,0,309,0.054671789,33.09205269
HS00018,Glen View - 2,36,41,41,9.458219449,9.458219449
HS00018,Glen View - 2,37,91,132,10.42669114,19.88491058
HS00018,Glen View - 2,38,32,164,6.131050593,26.01596118
HS00018,Glen View - 2,39,14,178,2.913225313,28.92918649
HS00018,Glen View - 2,40,5,183,1.507379318,30.43656581
HS00018,Glen View - 2,41,6,189,0.781025553,31.21759136
