PCODE,SUBURB,WEEK,CASES,CUMU_CASES,IR_1000,CumuIR_1000
HS00001,Budiriro - 5B ext.,36,4,4,3.896538778,3.896538778
HS00001,Budiriro - 5B ext.,37,4,8,3.728079395,7.624618173
HS00001,Budiriro - 5B ext.,38,3,11,4.299376434,11.92399461
HS00001,Budiriro - 5B ext.,39,0,11,3.903863099,15.82785771
HS00001,Budiriro - 5B ext.,39,0,11,3.903863099,15.82785771
HS00001,Budiriro - 5B ext.,40,0,11,2.329134082,18.15699179
HS00001,Budiriro - 5B ext.,41,1,12,0.966810374,19.12380216
HS00002,Budiriro - 1,36,264,264,3.896538778,3.896538778
HS00002,Budiriro - 1,37,204,468,3.728079395,7.624618173
HS00002,Budiriro - 1,38,294,762,4.299376434,11.92399461
HS00002,Budiriro - 1,39,359,1121,3.903863099,15.82785771
HS00002,Budiriro - 1,39,359,1121,3.903863099,15.82785771
HS00002,Budiriro - 1,40,210,1331,2.329134082,18.15699179
HS00002,Budiriro - 1,41,82,1413,0.966810374,19.12380216
HS00003,Budiriro - 3,36,86,86,3.896538778,3.896538778
HS00003,Budiriro - 3,37,68,154,3.728079395,7.624618173
HS00003,Budiriro - 3,38,59,213,4.299376434,11.92399461
HS00003,Budiriro - 3,39,37,250,3.903863099,15.82785771
HS00003,Budiriro - 3,39,37,250,3.903863099,15.82785771
HS00003,Budiriro - 3,40,18,268,2.329134082,18.15699179
HS00003,Budiriro - 3,41,7,275,0.966810374,19.12380216
HS00004,Budiriro - 2,36,50,50,3.896538778,3.896538778
HS00004,Budiriro - 2,37,54,104,3.728079395,7.624618173
HS00004,Budiriro - 2,38,61,165,4.299376434,11.92399461
HS00004,Budiriro - 2,39,29,194,3.903863099,15.82785771
HS00004,Budiriro - 2,39,29,194,3.903863099,15.82785771
HS00004,Budiriro - 2,40,30,224,2.329134082,18.15699179
HS00004,Budiriro - 2,41,13,237,0.966810374,19.12380216
HS00005,Budiriro - 4,36,30,30,3.896538778,3.896538778
HS00005,Budiriro - 4,37,33,63,3.728079395,7.624618173
HS00005,Budiriro - 4,38,28,91,4.299376434,11.92399461
HS00005,Budiriro - 4,39,15,106,3.903863099,15.82785771
HS00005,Budiriro - 4,39,15,106,3.903863099,15.82785771
HS00005,Budiriro - 4,40,12,118,2.329134082,18.15699179
HS00005,Budiriro - 4,41,4,122,0.966810374,19.12380216
HS00006,Budiriro - 5A,36,18,18,3.896538778,3.896538778
HS00006,Budiriro - 5A,37,29,47,3.728079395,7.624618173
HS00006,Budiriro - 5A,38,22,69,4.299376434,11.92399461
HS00006,Budiriro - 5A,39,25,94,3.903863099,15.82785771
HS00006,Budiriro - 5A,39,25,94,3.903863099,15.82785771
HS00006,Budiriro - 5A,40,11,105,2.329134082,18.15699179
HS00006,Budiriro - 5A,41,5,110,0.966810374,19.12380216
HS00007,Budiriro - 5B,36,71,71,3.896538778,3.896538778
HS00007,Budiriro - 5B,37,105,176,3.728079395,7.624618173
HS00007,Budiriro - 5B,38,97,273,4.299376434,11.92399461
HS00007,Budiriro - 5B,39,47,320,3.903863099,15.82785771
HS00007,Budiriro - 5B,39,47,320,3.903863099,15.82785771
HS00007,Budiriro - 5B,40,25,345,2.329134082,18.15699179
HS00007,Budiriro - 5B,41,15,360,0.966810374,19.12380216
HS00009,Glen Norah - A,36,22,22,0.413207788,0.413207788
HS00009,Glen Norah - A,37,71,93,1.154551171,1.567758958
HS00009,Glen Norah - A,38,64,157,1.154551171,2.722310129
HS00009,Glen Norah - A,39,27,184,0.53473949,3.257049619
HS00009,Glen Norah - A,39,27,184,0.53473949,3.257049619
HS00009,Glen Norah - A,40,11,195,0.206603894,3.463653513
HS00009,Glen Norah - A,41,10,205,0.182297553,3.645951066
HS00010,Glen Norah - C Extention,36,0,0,0.413207788,0.413207788
HS00010,Glen Norah - C Extention,37,1,1,1.154551171,1.567758958
HS00010,Glen Norah - C Extention,38,0,1,1.154551171,2.722310129
HS00010,Glen Norah - C Extention,39,0,1,0.53473949,3.257049619
HS00010,Glen Norah - C Extention,39,0,1,0.53473949,3.257049619
HS00010,Glen Norah - C Extention,40,0,1,0.206603894,3.463653513
HS00010,Glen Norah - C Extention,41,0,1,0.182297553,3.645951066
HS00011,Glen Norah - C,36,8,8,0.413207788,0.413207788
HS00011,Glen Norah - C,37,5,13,1.154551171,1.567758958
HS00011,Glen Norah - C,38,15,28,1.154551171,2.722310129
HS00011,Glen Norah - C,39,7,35,0.53473949,3.257049619
HS00011,Glen Norah - C,39,7,35,0.53473949,3.257049619
HS00011,Glen Norah - C,40,1,36,0.206603894,3.463653513
HS00011,Glen Norah - C,41,0,36,0.182297553,3.645951066
HS00012,Hopely - Kumbudzi,36,0,0,0,0
HS00012,Hopely - Kumbudzi,37,1,1,0,0
HS00012,Hopely - Kumbudzi,38,0,1,0,0
HS00012,Hopely - Kumbudzi,39,0,1,0,0
HS00012,Hopely - Kumbudzi,39,0,1,0,0
HS00012,Hopely - Kumbudzi,40,0,1,0,0
HS00012,Hopely - Kumbudzi,41,0,1,0,0
HS00013,Glen Norah - B,36,3,3,0.413207788,0.413207788
HS00013,Glen Norah - B,37,18,21,1.154551171,1.567758958
HS00013,Glen Norah - B,38,13,34,1.154551171,2.722310129
HS00013,Glen Norah - B,39,9,43,0.53473949,3.257049619
HS00013,Glen Norah - B,39,9,43,0.53473949,3.257049619
HS00013,Glen Norah - B,40,5,48,0.206603894,3.463653513
HS00013,Glen Norah - B,41,5,53,0.182297553,3.645951066
HS00014,Glen View - 1,36,153,153,9.481650216,9.481650216
HS00014,Glen View - 1,37,302,455,10.43450139,19.91615161
HS00014,Glen View - 1,38,216,671,6.209153148,26.12530475
HS00014,Glen View - 1,39,104,775,3.053809913,29.17911467
HS00014,Glen View - 1,39,104,775,3.053809913,29.17911467
HS00014,Glen View - 1,40,59,834,1.554240851,30.73335552
HS00014,Glen View - 1,41,32,866,0.73416402,31.46751954
HS00015,Glen View - 8,36,356,356,9.481650216,9.481650216
HS00015,Glen View - 8,37,318,674,10.43450139,19.91615161
HS00015,Glen View - 8,38,181,855,6.209153148,26.12530475
HS00015,Glen View - 8,39,78,933,3.053809913,29.17911467
HS00015,Glen View - 8,39,78,933,3.053809913,29.17911467
HS00015,Glen View - 8,40,47,980,1.554240851,30.73335552
HS00015,Glen View - 8,41,10,990,0.73416402,31.46751954
