PCODE,SUBURB,WEEK,CASES,CUMU_CASES,IR_1000,CumuIR_1000
HS00001,Budiriro - 5B ext.,36,5,5,3.933160383,3.933160383
HS00001,Budiriro - 5B ext.,37,7,12,3.764701,7.697861383
HS00001,Budiriro - 5B ext.,38,5,17,3.962457667,11.66031905
HS00002,Budiriro - 1,36,268,268,3.933160383,3.933160383
HS00002,Budiriro - 1,37,214,482,3.764701,7.697861383
HS00002,Budiriro - 1,38,266,748,3.962457667,11.66031905
HS00003,Budiriro - 3,36,85,85,3.933160383,3.933160383
HS00003,Budiriro - 3,37,70,155,3.764701,7.697861383
HS00003,Budiriro - 3,38,55,210,3.962457667,11.66031905
HS00004,Budiriro - 2,36,51,51,3.933160383,3.933160383
HS00004,Budiriro - 2,37,56,107,3.764701,7.697861383
HS00004,Budiriro - 2,38,63,170,3.962457667,11.66031905
HS00005,Budiriro - 4,36,31,31,3.933160383,3.933160383
HS00005,Budiriro - 4,37,33,64,3.764701,7.697861383
HS00005,Budiriro - 4,38,30,94,3.962457667,11.66031905
HS00006,Budiriro - 5A,36,14,14,3.933160383,3.933160383
HS00006,Budiriro - 5A,37,23,37,3.764701,7.697861383
HS00006,Budiriro - 5A,38,15,52,3.962457667,11.66031905
HS00007,Budiriro - 5B,36,71,71,3.933160383,3.933160383
HS00007,Budiriro - 5B,37,93,164,3.764701,7.697861383
HS00007,Budiriro - 5B,38,85,249,3.962457667,11.66031905
HS00009,Glen Norah - A,36,21,21,0.425360958,0.425360958
HS00009,Glen Norah - A,37,70,91,1.142398001,1.567758958
HS00009,Glen Norah - A,38,57,148,1.033019469,2.600778427
HS00010,Glen Norah - C Extention,36,0,0,0.425360958,0.425360958
HS00010,Glen Norah - C Extention,37,1,1,1.142398001,1.567758958
HS00010,Glen Norah - C Extention,38,0,1,1.033019469,2.600778427
HS00011,Glen Norah - C,36,9,9,0.425360958,0.425360958
HS00011,Glen Norah - C,37,5,14,1.142398001,1.567758958
HS00011,Glen Norah - C,38,9,23,1.033019469,2.600778427
HS00012,Hopely - Kumbudzi,36,0,0,0,0
HS00012,Hopely - Kumbudzi,37,1,1,0,0
HS00012,Hopely - Kumbudzi,38,0,1,0,0
HS00013,Glen Norah - B,36,3,3,0.425360958,0.425360958
HS00013,Glen Norah - B,37,16,19,1.142398001,1.567758958
HS00013,Glen Norah - B,38,12,31,1.033019469,2.600778427
HS00014,Glen View - 1,36,159,159,9.801870693,9.801870693
HS00014,Glen View - 1,37,311,470,10.8015834,20.60345409
HS00014,Glen View - 1,38,206,676,5.982655737,26.58610983
HS00015,Glen View - 8,36,361,361,9.801870693,9.801870693
HS00015,Glen View - 8,37,326,687,10.8015834,20.60345409
HS00015,Glen View - 8,38,173,860,5.982655737,26.58610983
HS00016,Glen View - 7 ext.,36,0,0,9.801870693,9.801870693
HS00016,Glen View - 7 ext.,37,3,3,10.8015834,20.60345409
HS00016,Glen View - 7 ext.,38,5,8,5.982655737,26.58610983
HS00017,Glen View - 7,36,52,52,9.801870693,9.801870693
HS00017,Glen View - 7,37,82,134,10.8015834,20.60345409
HS00017,Glen View - 7,38,61,195,5.982655737,26.58610983
HS00018,Glen View - 2,36,40,40,9.801870693,9.801870693
HS00018,Glen View - 2,37,94,134,10.8015834,20.60345409
HS00018,Glen View - 2,38,29,163,5.982655737,26.58610983
HS00019,Glen View - 3,36,588,588,9.801870693,9.801870693
HS00019,Glen View - 3,37,465,1053,10.8015834,20.60345409
HS00019,Glen View - 3,38,242,1295,5.982655737,26.58610983
HS00020,Glen View - 4,36,24,24,9.801870693,9.801870693
HS00020,Glen View - 4,37,30,54,10.8015834,20.60345409
HS00020,Glen View - 4,38,28,82,5.982655737,26.58610983
HS00021,Highfield - Old Highfield,36,0,0,0.092863637,0.092863637
HS00021,Highfield - Old Highfield,37,1,1,0.139295455,0.232159092
HS00021,Highfield - Old Highfield,38,3,4,0.436459093,0.668618186
HS00022,Highfield - Western Triangle,36,3,3,0.092863637,0.092863637
HS00022,Highfield - Western Triangle,37,3,6,0.139295455,0.232159092
HS00022,Highfield - Western Triangle,38,11,17,0.436459093,0.668618186
HS00023,Highfield - Zororo,36,0,0,0.092863637,0.092863637
HS00023,Highfield - Zororo,37,0,0,0.139295455,0.232159092
HS00023,Highfield - Zororo,38,1,1,0.436459093,0.668618186
HS00024,Highfield - Engineering,36,1,1,0.092863637,0.092863637
HS00024,Highfield - Engineering,37,1,2,0.139295455,0.232159092
HS00024,Highfield - Engineering,38,4,6,0.436459093,0.668618186
HS00025,Highfield - Lusaka,36,0,0,0.092863637,0.092863637
HS00025,Highfield - Lusaka,37,1,1,0.139295455,0.232159092
HS00025,Highfield - Lusaka,38,2,3,0.436459093,0.668618186
HS00026,Highfield - Paradise,36,0,0,0.092863637,0.092863637
HS00026,Highfield - Paradise,37,0,0,0.139295455,0.232159092
HS00026,Highfield - Paradise,38,2,2,0.436459093,0.668618186
HS00027,Highfield - Egypt,36,2,2,0.092863637,0.092863637
HS00027,Highfield - Egypt,37,1,3,0.139295455,0.232159092
HS00027,Highfield - Egypt,38,7,10,0.436459093,0.668618186
HS00028,Highfield - Jerusalem,36,0,0,0.092863637,0.092863637
HS00028,Highfield - Jerusalem,37,1,1,0.139295455,0.232159092
HS00028,Highfield - Jerusalem,38,2,3,0.436459093,0.668618186
HS00029,Highfield - New Canaan,36,2,2,0.092863637,0.092863637
HS00029,Highfield - New Canaan,37,1,3,0.139295455,0.232159092
HS00029,Highfield - New Canaan,38,2,5,0.436459093,0.668618186
HS00031,Highfield - Machipisa Shopping Centre,36,0,0,0.092863637,0.092863637
HS00031,Highfield - Machipisa Shopping Centre,37,0,0,0.139295455,0.232159092
HS00031,Highfield - Machipisa Shopping Centre,38,2,2,0.436459093,0.668618186
HS00032,Highfield - Old Canaan,36,0,0,0.092863637,0.092863637
HS00032,Highfield - Old Canaan,37,2,2,0.139295455,0.232159092
HS00032,Highfield - Old Canaan,38,1,3,0.436459093,0.668618186
HS00034,Kambuzuma - Rugare,36,0,0,0.115206251,0.115206251
HS00034,Kambuzuma - Rugare,37,0,0,0.30721667,0.422422921
HS00034,Kambuzuma - Rugare,38,4,4,0.499227089,0.92165001
HS00036,Kambuzuma - 5,36,0,0,0.115206251,0.115206251
HS00036,Kambuzuma - 5,37,1,1,0.30721667,0.422422921
HS00036,Kambuzuma - 5,38,2,3,0.499227089,0.92165001
HS00037,Kambuzuma - 6,36,0,0,0.115206251,0.115206251
HS00037,Kambuzuma - 6,37,5,5,0.30721667,0.422422921
HS00037,Kambuzuma - 6,38,1,6,0.499227089,0.92165001
HS00038,Kambuzuma - 4,36,0,0,0.115206251,0.115206251
HS00038,Kambuzuma - 4,37,0,0,0.30721667,0.422422921
HS00038,Kambuzuma - 4,38,3,3,0.499227089,0.92165001
HS00041,Kambuzuma - 2,36,0,0,0.115206251,0.115206251
HS00041,Kambuzuma - 2,37,1,1,0.30721667,0.422422921
HS00041,Kambuzuma - 2,38,2,3,0.499227089,0.92165001
HS00042,Kuwadzana - Ext. (phase 4),36,0,0,0.077192848,0.077192848
HS00042,Kuwadzana - Ext. (phase 4),37,4,4,0.126816821,0.204009669
HS00042,Kuwadzana - Ext. (phase 4),38,12,16,0.292230066,0.496239735
HS00043,Kuwadzana - 7,36,0,0,0.077192848,0.077192848
HS00043,Kuwadzana - 7,37,2,2,0.126816821,0.204009669
HS00043,Kuwadzana - 7,38,1,3,0.292230066,0.496239735
HS00044,Kuwadzana - 5,36,1,1,0.077192848,0.077192848
HS00044,Kuwadzana - 5,37,5,6,0.126816821,0.204009669
HS00044,Kuwadzana - 5,38,3,9,0.292230066,0.496239735
HS00045,Kuwadzana - 6,36,1,1,0.077192848,0.077192848
HS00045,Kuwadzana - 6,37,1,2,0.126816821,0.204009669
HS00045,Kuwadzana - 6,38,2,4,0.292230066,0.496239735
HS00046,Kuwadzana - 2,36,1,1,0.077192848,0.077192848
HS00046,Kuwadzana - 2,37,0,1,0.126816821,0.204009669
HS00046,Kuwadzana - 2,38,3,4,0.292230066,0.496239735
HS00047,Kuwadzana - 3,36,5,5,0.077192848,0.077192848
HS00047,Kuwadzana - 3,37,1,6,0.126816821,0.204009669
HS00047,Kuwadzana - 3,38,8,14,0.292230066,0.496239735
HS00048,Kuwadzana - 4,36,0,0,0.077192848,0.077192848
HS00048,Kuwadzana - 4,37,0,0,0.126816821,0.204009669
HS00048,Kuwadzana - 4,38,4,4,0.292230066,0.496239735
HS00049,Kuwadzana - 1,36,2,2,0.077192848,0.077192848
HS00049,Kuwadzana - 1,37,1,3,0.126816821,0.204009669
HS00049,Kuwadzana - 1,38,4,7,0.292230066,0.496239735
HS00050,Kuwadzana - Crowborough North,36,2,2,0.077192848,0.077192848
HS00050,Kuwadzana - Crowborough North,37,4,6,0.126816821,0.204009669
HS00050,Kuwadzana - Crowborough North,38,5,11,0.292230066,0.496239735
HS00053,Mufakose - Marimba,36,4,4,0.192125358,0.192125358
HS00053,Mufakose - Marimba,37,0,4,0.192125358,0.384250715
HS00053,Mufakose - Marimba,38,3,7,0.27217759,0.656428305
HS00055,Southerton - Residential,36,1,1,0.029097597,0.029097597
HS00055,Southerton - Residential,37,6,7,0.174585585,0.203683182
HS00055,Southerton - Residential,38,2,9,0.058195195,0.261878377
HS00056,Warren Park - D,36,0,0,0.053668453,0.053668453
HS00056,Warren Park - D,37,4,4,0.093919792,0.147588245
HS00056,Warren Park - D,38,7,11,0.429347621,0.576935865
HS00057,Warren Park - 1,36,2,2,0.053668453,0.053668453
HS00057,Warren Park - 1,37,2,4,0.093919792,0.147588245
HS00057,Warren Park - 1,38,13,17,0.429347621,0.576935865
HS00058,Warren Park - Cold Comfort,36,0,0,0.053668453,0.053668453
HS00058,Warren Park - Cold Comfort,37,1,1,0.093919792,0.147588245
HS00058,Warren Park - Cold Comfort,38,6,7,0.429347621,0.576935865
HS00061,Ushewokunze,36,5,5,0,0
HS00061,Ushewokunze,37,7,12,0,0
HS00061,Ushewokunze,38,8,20,0,0
HS00062,Willowvale,36,0,0,0,0
HS00062,Willowvale,37,3,3,0,0
HS00062,Willowvale,38,3,6,0,0
