PCODE,SUBURB,WEEK,CASES,CUMU_CASES,IR_1000,CumuIR_1000
HS00001,Budiriro - 5B ext.,36,4,14,3.889214457,3.889214457
HS00001,Budiriro - 5B ext.,37,7,14,3.728079395,7.617293852
HS00001,Budiriro - 5B ext.,38,2,14,4.306700755,11.92399461
HS00001,Budiriro - 5B ext.,39,0,14,3.955133346,15.87912795
HS00001,Budiriro - 5B ext.,40,1,14,1.757837043,17.636965
HS00002,Budiriro - 1,36,266,1305,3.889214457,3.889214457
HS00002,Budiriro - 1,37,206,1305,3.728079395,7.617293852
HS00002,Budiriro - 1,38,298,1305,4.306700755,11.92399461
HS00002,Budiriro - 1,39,363,1305,3.955133346,15.87912795
HS00002,Budiriro - 1,40,172,1305,1.757837043,17.636965
HS00003,Budiriro - 3,36,85,260,3.889214457,3.889214457
HS00003,Budiriro - 3,37,69,260,3.728079395,7.617293852
HS00003,Budiriro - 3,38,57,260,4.306700755,11.92399461
HS00003,Budiriro - 3,39,37,260,3.955133346,15.87912795
HS00003,Budiriro - 3,40,12,260,1.757837043,17.636965
HS00004,Budiriro - 2,36,49,215,3.889214457,3.889214457
HS00004,Budiriro - 2,37,54,215,3.728079395,7.617293852
HS00004,Budiriro - 2,38,61,215,4.306700755,11.92399461
HS00004,Budiriro - 2,39,29,215,3.955133346,15.87912795
HS00004,Budiriro - 2,40,22,215,1.757837043,17.636965
HS00005,Budiriro - 4,36,30,110,3.889214457,3.889214457
HS00005,Budiriro - 4,37,33,110,3.728079395,7.617293852
HS00005,Budiriro - 4,38,28,110,4.306700755,11.92399461
HS00005,Budiriro - 4,39,15,110,3.955133346,15.87912795
HS00005,Budiriro - 4,40,4,110,1.757837043,17.636965
HS00006,Budiriro - 5A,36,20,114,3.889214457,3.889214457
HS00006,Budiriro - 5A,37,32,114,3.728079395,7.617293852
HS00006,Budiriro - 5A,38,26,114,4.306700755,11.92399461
HS00006,Budiriro - 5A,39,26,114,3.955133346,15.87912795
HS00006,Budiriro - 5A,40,10,114,1.757837043,17.636965
HS00007,Budiriro - 5B,36,71,324,3.889214457,3.889214457
HS00007,Budiriro - 5B,37,97,324,3.728079395,7.617293852
HS00007,Budiriro - 5B,38,95,324,4.306700755,11.92399461
HS00007,Budiriro - 5B,39,48,324,3.955133346,15.87912795
HS00007,Budiriro - 5B,40,13,324,1.757837043,17.636965
HS00009,Glen Norah - A,36,23,199,0.413207788,0.413207788
HS00009,Glen Norah - A,37,75,199,1.166704341,1.579912129
HS00009,Glen Norah - A,38,65,199,1.154551171,2.7344633
HS00009,Glen Norah - A,39,25,199,0.53473949,3.269202789
HS00009,Glen Norah - A,40,11,199,0.194450724,3.463653513
HS00010,Glen Norah - C Extention,36,0,1,0.413207788,0.413207788
HS00010,Glen Norah - C Extention,37,1,1,1.166704341,1.579912129
HS00010,Glen Norah - C Extention,38,0,1,1.154551171,2.7344633
HS00010,Glen Norah - C Extention,39,0,1,0.53473949,3.269202789
HS00010,Glen Norah - C Extention,40,0,1,0.194450724,3.463653513
HS00011,Glen Norah - C,36,8,39,0.413207788,0.413207788
HS00011,Glen Norah - C,37,6,39,1.166704341,1.579912129
HS00011,Glen Norah - C,38,16,39,1.154551171,2.7344633
HS00011,Glen Norah - C,39,8,39,0.53473949,3.269202789
HS00011,Glen Norah - C,40,1,39,0.194450724,3.463653513
HS00012,Hopely - Kumbudzi,36,0,1,0,0
HS00012,Hopely - Kumbudzi,37,1,1,0,0
HS00012,Hopely - Kumbudzi,38,0,1,0,0
HS00012,Hopely - Kumbudzi,39,0,1,0,0
HS00012,Hopely - Kumbudzi,40,0,1,0,0
HS00013,Glen Norah - B,36,3,41,0.413207788,0.413207788
HS00013,Glen Norah - B,37,14,41,1.166704341,1.579912129
HS00013,Glen Norah - B,38,11,41,1.154551171,2.7344633
HS00013,Glen Norah - B,39,9,41,0.53473949,3.269202789
HS00013,Glen Norah - B,40,4,41,0.194450724,3.463653513
HS00014,Glen View - 1,36,156,834,9.505080982,9.505080982
HS00014,Glen View - 1,37,301,834,10.43450139,19.93958237
HS00014,Glen View - 1,38,219,834,6.248204426,26.1877868
HS00014,Glen View - 1,39,106,834,3.108481702,29.2962685
HS00014,Glen View - 1,40,52,834,1.413656251,30.70992475
HS00015,Glen View - 8,36,353,969,9.505080982,9.505080982
HS00015,Glen View - 8,37,316,969,10.43450139,19.93958237
HS00015,Glen View - 8,38,182,969,6.248204426,26.1877868
HS00015,Glen View - 8,39,78,969,3.108481702,29.2962685
HS00015,Glen View - 8,40,40,969,1.413656251,30.70992475
HS00016,Glen View - 7 ext.,36,0,3,9.505080982,9.505080982
HS00016,Glen View - 7 ext.,37,1,3,10.43450139,19.93958237
HS00016,Glen View - 7 ext.,38,1,3,6.248204426,26.1877868
HS00016,Glen View - 7 ext.,39,1,3,3.108481702,29.2962685
HS00016,Glen View - 7 ext.,40,0,3,1.413656251,30.70992475
HS00017,Glen View - 7,36,55,279,9.505080982,9.505080982
HS00017,Glen View - 7,37,104,279,10.43450139,19.93958237
HS00017,Glen View - 7,38,77,279,6.248204426,26.1877868
HS00017,Glen View - 7,39,29,279,3.108481702,29.2962685
HS00017,Glen View - 7,40,14,279,1.413656251,30.70992475
HS00018,Glen View - 2,36,41,188,9.505080982,9.505080982
HS00018,Glen View - 2,37,91,188,10.43450139,19.93958237
HS00018,Glen View - 2,38,32,188,6.248204426,26.1877868
HS00018,Glen View - 2,39,16,188,3.108481702,29.2962685
HS00018,Glen View - 2,40,8,188,1.413656251,30.70992475
HS00019,Glen View - 3,36,569,1495,9.505080982,9.505080982
HS00019,Glen View - 3,37,456,1495,10.43450139,19.93958237
HS00019,Glen View - 3,38,254,1495,6.248204426,26.1877868
HS00019,Glen View - 3,39,154,1495,3.108481702,29.2962685
HS00019,Glen View - 3,40,62,1495,1.413656251,30.70992475
HS00020,Glen View - 4,36,24,93,9.505080982,9.505080982
HS00020,Glen View - 4,37,27,93,10.43450139,19.93958237
HS00020,Glen View - 4,38,26,93,6.248204426,26.1877868
HS00020,Glen View - 4,39,11,93,3.108481702,29.2962685
HS00020,Glen View - 4,40,5,93,1.413656251,30.70992475
HS00021,Highfield - Old Highfield,36,0,6,0.083577273,0.083577273
HS00021,Highfield - Old Highfield,37,1,6,0.130009092,0.213586365
HS00021,Highfield - Old Highfield,38,4,6,0.520036367,0.733622731
HS00021,Highfield - Old Highfield,39,1,6,0.204300001,0.937922732
HS00021,Highfield - Old Highfield,40,0,6,0.130009092,1.067931824
HS00022,Highfield - Western Triangle,36,3,28,0.083577273,0.083577273
HS00022,Highfield - Western Triangle,37,3,28,0.130009092,0.213586365
HS00022,Highfield - Western Triangle,38,14,28,0.520036367,0.733622731
HS00022,Highfield - Western Triangle,39,7,28,0.204300001,0.937922732
HS00022,Highfield - Western Triangle,40,1,28,0.130009092,1.067931824
HS00023,Highfield - Zororo,36,0,2,0.083577273,0.083577273
HS00023,Highfield - Zororo,37,0,2,0.130009092,0.213586365
HS00023,Highfield - Zororo,38,2,2,0.520036367,0.733622731
HS00023,Highfield - Zororo,39,0,2,0.204300001,0.937922732
HS00023,Highfield - Zororo,40,0,2,0.130009092,1.067931824
HS00024,Highfield - Engineering,36,1,12,0.083577273,0.083577273
HS00024,Highfield - Engineering,37,1,12,0.130009092,0.213586365
HS00024,Highfield - Engineering,38,4,12,0.520036367,0.733622731
HS00024,Highfield - Engineering,39,2,12,0.204300001,0.937922732
HS00024,Highfield - Engineering,40,4,12,0.130009092,1.067931824
HS00025,Highfield - Lusaka,36,0,7,0.083577273,0.083577273
HS00025,Highfield - Lusaka,37,1,7,0.130009092,0.213586365
HS00025,Highfield - Lusaka,38,2,7,0.520036367,0.733622731
HS00025,Highfield - Lusaka,39,3,7,0.204300001,0.937922732
HS00025,Highfield - Lusaka,40,1,7,0.130009092,1.067931824
HS00026,Highfield - Paradise,36,0,3,0.083577273,0.083577273
HS00026,Highfield - Paradise,37,0,3,0.130009092,0.213586365
HS00026,Highfield - Paradise,38,3,3,0.520036367,0.733622731
HS00026,Highfield - Paradise,39,0,3,0.204300001,0.937922732
HS00026,Highfield - Paradise,40,0,3,0.130009092,1.067931824
HS00027,Highfield - Egypt,36,2,15,0.083577273,0.083577273
HS00027,Highfield - Egypt,37,1,15,0.130009092,0.213586365
HS00027,Highfield - Egypt,38,7,15,0.520036367,0.733622731
HS00027,Highfield - Egypt,39,3,15,0.204300001,0.937922732
HS00027,Highfield - Egypt,40,2,15,0.130009092,1.067931824
HS00028,Highfield - Jerusalem,36,0,4,0.083577273,0.083577273
HS00028,Highfield - Jerusalem,37,1,4,0.130009092,0.213586365
HS00028,Highfield - Jerusalem,38,2,4,0.520036367,0.733622731
HS00028,Highfield - Jerusalem,39,0,4,0.204300001,0.937922732
HS00028,Highfield - Jerusalem,40,1,4,0.130009092,1.067931824
HS00029,Highfield - New Canaan,36,2,13,0.083577273,0.083577273
HS00029,Highfield - New Canaan,37,1,13,0.130009092,0.213586365
HS00029,Highfield - New Canaan,38,4,13,0.520036367,0.733622731
HS00029,Highfield - New Canaan,39,3,13,0.204300001,0.937922732
HS00029,Highfield - New Canaan,40,3,13,0.130009092,1.067931824
HS00031,Highfield - Machipisa Shopping Centre,36,0,4,0.083577273,0.083577273
HS00031,Highfield - Machipisa Shopping Centre,37,0,4,0.130009092,0.213586365
HS00031,Highfield - Machipisa Shopping Centre,38,4,4,0.520036367,0.733622731
HS00031,Highfield - Machipisa Shopping Centre,39,0,4,0.204300001,0.937922732
HS00031,Highfield - Machipisa Shopping Centre,40,0,4,0.130009092,1.067931824
HS00032,Highfield - Old Canaan,36,0,3,0.083577273,0.083577273
HS00032,Highfield - Old Canaan,37,2,3,0.130009092,0.213586365
HS00032,Highfield - Old Canaan,38,1,3,0.520036367,0.733622731
HS00032,Highfield - Old Canaan,39,0,3,0.204300001,0.937922732
HS00032,Highfield - Old Canaan,40,0,3,0.130009092,1.067931824
HS00034,Kambuzuma - Rugare,36,0,9,0.076804167,0.076804167
HS00034,Kambuzuma - Rugare,37,0,9,0.30721667,0.384020837
HS00034,Kambuzuma - Rugare,38,4,9,0.499227089,0.883247926
HS00034,Kambuzuma - Rugare,39,4,9,0.537629172,1.420877098
HS00034,Kambuzuma - Rugare,40,1,9,0.038402084,1.459279182
HS00035,Kambuzuma - Westwood,36,0,1,0.076804167,0.076804167
