PCODE,SUBURB,WEEK,CASES,CUMU_CASES,IR_1000,CumuIR_1000
HS00001,Budiriro - 5B ext.,36,4,4,3.896538778,3.896538778
HS00001,Budiriro - 5B ext.,37,5,9,3.728079395,7.624618173
HS00001,Budiriro - 5B ext.,38,2,11,4.306700755,11.93131893
HS00001,Budiriro - 5B ext.,39,0,11,3.706106432,15.63742536
HS00001,Budiriro - 5B ext.,40,0,11,0.263675556,15.90110092
HS00002,Budiriro - 1,36,266,266,3.896538778,3.896538778
HS00002,Budiriro - 1,37,206,472,3.728079395,7.624618173
HS00002,Budiriro - 1,38,297,769,4.306700755,11.93131893
HS00002,Budiriro - 1,39,336,1105,3.706106432,15.63742536
HS00002,Budiriro - 1,40,28,1133,0.263675556,15.90110092
HS00003,Budiriro - 3,36,84,84,3.896538778,3.896538778
HS00003,Budiriro - 3,37,68,152,3.728079395,7.624618173
HS00003,Budiriro - 3,38,58,210,4.306700755,11.93131893
HS00003,Budiriro - 3,39,38,248,3.706106432,15.63742536
HS00003,Budiriro - 3,40,2,250,0.263675556,15.90110092
HS00004,Budiriro - 2,36,50,50,3.896538778,3.896538778
HS00004,Budiriro - 2,37,55,105,3.728079395,7.624618173
HS00004,Budiriro - 2,38,64,169,4.306700755,11.93131893
HS00004,Budiriro - 2,39,28,197,3.706106432,15.63742536
HS00004,Budiriro - 2,40,0,197,0.263675556,15.90110092
HS00005,Budiriro - 4,36,30,30,3.896538778,3.896538778
HS00005,Budiriro - 4,37,33,63,3.728079395,7.624618173
HS00005,Budiriro - 4,38,29,92,4.306700755,11.93131893
HS00005,Budiriro - 4,39,13,105,3.706106432,15.63742536
HS00005,Budiriro - 4,40,0,105,0.263675556,15.90110092
HS00006,Budiriro - 5A,36,18,18,3.896538778,3.896538778
HS00006,Budiriro - 5A,37,32,50,3.728079395,7.624618173
HS00006,Budiriro - 5A,38,23,73,4.306700755,11.93131893
HS00006,Budiriro - 5A,39,25,98,3.706106432,15.63742536
HS00006,Budiriro - 5A,40,2,100,0.263675556,15.90110092
HS00007,Budiriro - 5B,36,69,69,3.896538778,3.896538778
HS00007,Budiriro - 5B,37,94,163,3.728079395,7.624618173
HS00007,Budiriro - 5B,38,93,256,4.306700755,11.93131893
HS00007,Budiriro - 5B,39,45,301,3.706106432,15.63742536
HS00007,Budiriro - 5B,40,2,303,0.263675556,15.90110092
HS00009,Glen Norah - A,36,21,21,0.425360958,0.425360958
HS00009,Glen Norah - A,37,71,92,1.154551171,1.579912129
HS00009,Glen Norah - A,38,60,152,1.154551171,2.7344633
HS00009,Glen Norah - A,39,24,176,0.498279979,3.232743279
HS00009,Glen Norah - A,40,0,176,0,3.232743279
HS00010,Glen Norah - C Extention,36,0,0,0.425360958,0.425360958
HS00010,Glen Norah - C Extention,37,1,1,1.154551171,1.579912129
HS00010,Glen Norah - C Extention,38,0,1,1.154551171,2.7344633
