PCODE,SUBURB,WEEK,CASES,CUMU_CASES,IR_1000,CumuIR_1000
HS00064,Lochinvar,36,0,3,0,0
HS00055,Southerton - Residential,36,1,10,0.029097597,0.029097597
HS00009,Glen Norah - A,36,21,157,0.425360958,0.425360958
HS00010,Glen Norah - C Extention,36,0,1,0.425360958,0.425360958
HS00011,Glen Norah - C,36,9,30,0.425360958,0.425360958
HS00014,Glen View - 1,36,157,725,9.583183538,9.583183538
HS00015,Glen View - 8,36,356,877,9.583183538,9.583183538
HS00016,Glen View - 7 ext.,36,0,11,9.583183538,9.583183538
HS00017,Glen View - 7,36,50,198,9.583183538,9.583183538
HS00018,Glen View - 2,36,39,163,9.583183538,9.583183538
HS00019,Glen View - 3,36,572,1319,9.583183538,9.583183538
HS00020,Glen View - 4,36,24,82,9.583183538,9.583183538
HS00001,Budiriro - 5B ext.,36,4,15,3.896538778,3.896538778
HS00002,Budiriro - 1,36,266,786,3.896538778,3.896538778
HS00003,Budiriro - 3,36,83,216,3.896538778,3.896538778
HS00004,Budiriro - 2,36,50,166,3.896538778,3.896538778
HS00005,Budiriro - 4,36,30,93,3.896538778,3.896538778
HS00006,Budiriro - 5A,36,16,65,3.896538778,3.896538778
HS00007,Budiriro - 5B,36,71,266,3.896538778,3.896538778
HS00065,Mufakose - Mufakose,36,6,42,0.176114911,0.176114911
HS00052,Mufakose - New Marimba Park,36,0,1,0.176114911,0.176114911
HS00053,Mufakose - Marimba,36,4,7,0.176114911,0.176114911
HS00062,Willowvale,36,0,9,0,0
HS00061,Ushewokunze,36,5,27,0,0
HS00056,Warren Park - D,36,0,12,0.053668453,0.053668453
HS00123,Glen Lorne - Glen Lorne,36,0,1,0,0
HS00042,Kuwadzana - Ext. (phase 4),36,0,22,0.077192848,0.077192848
HS00043,Kuwadzana - 7,36,0,4,0.077192848,0.077192848
HS00044,Kuwadzana - 5,36,1,13,0.077192848,0.077192848
HS00045,Kuwadzana - 6,36,1,4,0.077192848,0.077192848
HS00046,Kuwadzana - 2,36,1,6,0.077192848,0.077192848
HS00047,Kuwadzana - 3,36,4,16,0.077192848,0.077192848
HS00048,Kuwadzana - 4,36,0,4,0.077192848,0.077192848
HS00049,Kuwadzana - 1,36,2,9,0.077192848,0.077192848
HS00050,Kuwadzana - Crowborough North,36,2,13,0.077192848,0.077192848
HS00021,Highfield - Old Highfield,36,0,5,0.092863637,0.092863637
HS00022,Highfield - Western Triangle,36,3,22,0.092863637,0.092863637
HS00023,Highfield - Zororo,36,0,2,0.092863637,0.092863637
HS00024,Highfield - Engineering,36,1,6,0.092863637,0.092863637
HS00025,Highfield - Lusaka,36,0,5,0.092863637,0.092863637
HS00026,Highfield - Paradise,36,0,3,0.092863637,0.092863637
HS00027,Highfield - Egypt,36,2,12,0.092863637,0.092863637
HS00028,Highfield - Jerusalem,36,0,3,0.092863637,0.092863637
HS00029,Highfield - New Canaan,36,2,8,0.092863637,0.092863637
HS00031,Highfield - Machipisa Shopping Centre,36,0,4,0.092863637,0.092863637
HS00032,Highfield - Old Canaan,36,0,3,0.092863637,0.092863637
HS00034,Kambuzuma - Rugare,36,0,6,0.076804167,0.076804167
HS00035,Kambuzuma - Westwood,36,0,1,0.076804167,0.076804167
HS00079,Aspindale Park - Residential,36,1,4,0,0
HS00036,Kambuzuma - 5,36,0,3,0.076804167,0.076804167
HS00037,Kambuzuma - 6,36,0,9,0.076804167,0.076804167
HS00038,Kambuzuma - 4,36,0,3,0.076804167,0.076804167
HS00039,Kambuzuma - 3,36,0,1,0.076804167,0.076804167
HS00041,Kambuzuma - 2,36,0,5,0.076804167,0.076804167
HS00057,Warren Park - 1,36,2,22,0.053668453,0.053668453
HS00058,Warren Park - Cold Comfort,36,0,7,0.053668453,0.053668453
HS00012,Hopely - Kumbudzi,36,0,1,0,0
HS00013,Glen Norah - B,36,3,29,0.425360958,0.425360958
HS00128,Graniteside,36,0,1,0,0
HS00076,Arcadia,36,0,3,0,0
HS00103,Braeside,36,1,5,0,0
HS00143,Hillside,36,0,5,0,0
HS00188,Sunningdale - Sunningdale,36,1,21,0.040285427,0.040285427
HS00186,St.Martins,36,0,2,0,0
HS00198,Waterfalls - Prospect,36,0,3,0.305454936,0.305454936
HS00109,Cranborne Park,36,2,9,0,0
HS00184,Queensdale,36,1,5,0,0
HS00105,Chadcombe,36,0,2,0,0
HS00178,Msasa - Msasa Park,36,1,10,0,0
HS00140,Hatfield - Hatfield,36,4,22,0.079617267,0.079617267
HS00085,Belvedere - Belvedere South,36,0,1,0.121191672,0.121191672
HS00182,New Settlement,36,6,37,0,0
HS00160,Mandara,36,0,2,0,0
HS00119,Eastlea,36,1,6,0,0
HS00132,Greendale - Greengrove,36,0,3,0.018489389,0.018489389
HS00135,Greendale - Rhodesville,36,0,2,0.018489389,0.018489389
HS00225,Mbare - National,36,14,157,0.319560827,0.319560827
HS00170,Mbare - Ardbennie,36,1,14,0.319560827,0.319560827
HS00207,Southlea Park,36,5,38,0,0
HS00199,Waterfalls - Park Town,36,0,5,0.305454936,0.305454936
HS00200,Waterfalls - Houghton Park,36,1,9,0.305454936,0.305454936
HS00201,Waterfalls - Retreat,36,1,26,0.305454936,0.305454936
HS00067,City Centre,36,0,12,0,0
HS00066,Avenues,36,0,5,0,0
HS00142,Highlands - Highlands,36,0,5,0.042721741,0.042721741
HS00093,Borrowdale - Borrowdale,36,0,10,0,0
HS00185,Rock View,36,1,2,0,0
HS00190,Tafara - New Tafara,36,0,8,0,0
HS00157,Mabvuku - New Mabvuku,36,1,3,0.080406699,0.080406699
HS00158,Mabvuku - Old Mabvuku,36,0,3,0.080406699,0.080406699
HS00159,Mabvuku,36,3,8,0.080406699,0.080406699
HS00121,Eyecourt,36,0,2,0,0
